# locus	locus identifier						
#URL	where to find known alleles for matching						
#isORF	do we expect the allele to be an in-frame ORF						
#basename	The prefix that is shared by all allele identifiers						
#DNA_version=	The locus identifier for the DNA version of this peptide						
#species	Which species we expect to find this in. Unimplemented feature to select a subset of loci						
#expected	Whether we expect to find this gene in the genome. Controls whether warnings are generated when gene is not found						
locus	URL	basename	isORF	isPeptide	DNA_version	species	expected
#adk_full	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0767	NEIS0767_	TRUE			Nm	TRUE
#aroE_full	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1810	NEIS1810_	TRUE			Nm	TRUE
fumC_full	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1396	NEIS1396_	TRUE			Nm	TRUE
##capsule general							
ctrA	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0055	NEIS0055_	TRUE			Nm	
ctrB	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0056	NEIS0056_	TRUE			Nm	
ctrC	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0057	NEIS0057_	TRUE			Nm	
ctrD	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0058	NEIS0058_	TRUE			Nm	
##capsule NmC non-unique							
cssA	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0054	NEIS0054_	TRUE			Nm	
cssB	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0053	NEIS0053_	TRUE			Nm	
cssC	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0052	NEIS0052_	TRUE			Nm	
cssE	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0050	NEIS0050_	TRUE			Nm	
ctrG	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0049	NEIS0049_	TRUE			Nm	
##capsule Region B							
ctrE	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0066	NEIS0066_	TRUE			Nm	
ctrF	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0067	NEIS0067_	TRUE			Nm	
cnl	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2743	NEIS2743_	TRUE			Nm	
##CC11							
#frpC	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0527	NEIS0527_	TRUE			Nm	
##Subclade IV							
#NEIS0203	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0203	NEIS0203_	TRUE			Nm	
#NEIS0293	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0293	NEIS0293_	TRUE			Nm	
#pglB_c	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0399	NEIS0399_	TRUE			Nm	
#pglH_c	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0400	NEIS0400_	TRUE			Nm	
#NEIS0718	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0718	NEIS0718_	TRUE			Nm	
#NEIS0865	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0865	NEIS0865_	TRUE			Nm	
#NEIS1085	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1085	NEIS1085_	TRUE			Nm	
#NEIS1365	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1365	NEIS1365_	TRUE			Nm	
#NEIS1622	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1622	NEIS1622_	TRUE			Nm	
#NEIS1747	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1747	NEIS1747_	TRUE			Nm	
#rpmA	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1848	NEIS1848_	TRUE			Nm	
#lgtE_c_IV	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1900	NEIS1900_	TRUE			Nm	
#lgtA_c_IV	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1902	NEIS1902_	TRUE			Nm	
#NEIS2002	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2002	NEIS2002_	TRUE			Nm	
#NEIS2017	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2017	NEIS2017_	TRUE			Nm	
#NEIS2049	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2049	NEIS2049_	TRUE			Nm	
#lgtD_c_IV	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2155	NEIS2155_	TRUE			Nm	
#lgtB_c_IV	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1901	NEIS1901_	TRUE			Nm	
##Subclade II							
#nadC_F18_cII	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1770	NEIS1770_	TRUE			Nm	
#NEIS1771	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1771	NEIS1771_	TRUE			Nm	
#nicA_F18_cII	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1772	NEIS1772_	TRUE			Nm	
#nicB_F18_cII	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1773	NEIS1773_	TRUE			Nm	
#mafS7_cII	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2090	NEIS2090_	TRUE			Nm	
#NEIS1437	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1437	NEIS1437_	TRUE			Nm	
##Subclades II/III/IV							
glmM_F18	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1608	NEIS1608_	TRUE			Nm	
#folP	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1609	NEIS1609_	TRUE			Nm	
#NEIS2494	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2494	NEIS2494_	TRUE			Nm	
#NEIS1610	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1610	NEIS1610_	TRUE			Nm	
#NEIS1870	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1870	NEIS1870_	TRUE			Nm	
#NEIS1871	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1871	NEIS1871_	TRUE			Nm	
#NEIS1872	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1872	NEIS1872_	TRUE			Nm	
#NEIS1873	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1873	NEIS1873_	TRUE			Nm	
#NEIS1874	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1874	NEIS1874_	TRUE			Nm	
#NEIS1875	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1875	NEIS1875_	TRUE			Nm	
#NEIS1876	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1876	NEIS1876_	TRUE			Nm	
#opcB	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1877	NEIS1877_	TRUE			Nm	
#groL_F18	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1948	NEIS1948_	TRUE			Nm	
#groS_F18	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1949	NEIS1949_	TRUE			Nm	
#lysA_F18	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1952	NEIS1952_	TRUE			Nm	
#NEIS1953	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1953	NEIS1953_	TRUE			Nm	
##subclade Iva							
rpmJ	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0154	NEIS0154_	TRUE			Nm	
rpsO	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0552	NEIS0552_	TRUE			Nm	
##rplF species							
_rplF	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=%27rplF	'rplF_				Nm	TRUE
###ECDC MSM							
aniA	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1549	NEIS1549_	TRUE			Nm	
# Vaccine antigen regulators	Note: mtrR is under antibiotics						
#farR	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1525	NEIS1525_	TRUE			Nm	
nadR_tentative	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0374	NEIS0374_	TRUE			Nm	
lnt_tentative	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0664	NEIS0664_	TRUE			Nm	
nspA_tentative	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0612	NEIS0612_	TRUE			Nm	
#Urethritis study
autA	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1859	NEIS1859_	TRUE			Nm
tspB_NEIS0025	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0025	NEIS0025_	TRUE			Nm
tspB_NEIS1715	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1715	NEIS1715_	TRUE			Nm
tspB_NEIS1866	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1866	NEIS1866_	TRUE			Nm
pilC2	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0033	NEIS0033_	TRUE			Nm
pilC1	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0371	NEIS0371_	TRUE			Nm
rfbC	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0045	NEIS0045_	TRUE			Nm
rfbB	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0047	NEIS0047_	TRUE			Nm
rfbC2	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0065	NEIS0065_	TRUE			Nm
NEIS1357	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1357	NEIS1357_	TRUE			Nm
pglG	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0401	NEIS0401_	TRUE			Nm
NEIS0444_hem	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0444	NEIS0444_	TRUE			Nm
NEIS0956	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0956	NEIS0956_	TRUE			Nm
NEIS1214	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1214	NEIS1214_	TRUE			Nm
opaA	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1403	NEIS1403_	TRUE			Nm
NEIS1702	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1702	NEIS1702_	TRUE			Nm
NEIS1719	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1719	NEIS1719_	TRUE			Nm
NEIS2044	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2044	NEIS2044_	TRUE			Nm
NEIS2520	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2520	NEIS2520_	TRUE			Nm
